pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA
8oxx	101	0.05734882266332464	8.0172318657648	0.0625
8oxx	102	0.01676264820714145	10.03673401714436	0.0
8oxx	103	0.009299112981293758	17.293232569480264	0.0
8oxx	104	0.03763637147848826	6.157557845805589	0.03125
8oxx	105	0.0315630125630285	8.515667435637676	0.0
8oxy	101	0.01378536624532793	15.492600450646318	0.0
8oxy	102	0.3592848167369192	2.043990464708625	0.4411764705882353
8oxy	103	0.013686423672764661	9.598624344721463	0.0
8oxy	104	0.032873213370201035	10.544736423675285	0.0
8oxy	105	0.020106708223128423	11.30593818178204	0.0
8ozb	101			
8ozb	102			
8ozb	103			
8ozb	104			
8ozb	105			
8pe1	101			
8pe1	102			
8pe1	103			
8pe1	104			
8pe1	105			
8pe2	101	0.8114229599298617	1.0486968128526077	0.8505747126436781
8pe2	102	0.8139783819085299	1.0019752792781174	0.8505747126436781
8pe2	103	0.8194510722785021	0.9846710731608274	0.8620689655172413
8pe2	104	0.8329629154842836	0.934593691586234	0.8505747126436781
8pe2	105	0.8101007138822349	1.087296582963487	0.8735632183908046
8pih	101	0.9164025794657666	0.6516508415544169	0.9482758620689655
8pih	102	0.9225609144493796	0.641331186388	0.9655172413793104
8pih	103	0.9235053850767693	0.6013793734910522	0.9482758620689655
8pih	104	0.8246596771695215	0.9303732956548928	0.8275862068965517
8pih	105	0.8893425668159191	0.7606427459207442	0.9310344827586207
8pmz	101			
8pmz	102			
8pmz	103			
8pmz	104			
8pmz	105			
8pwv	101			
8pwv	102			
8pwv	103			
8pwv	104			
8pwv	105			
8pww	101	0.0075219123890037575	19.48454122029347	0.0
8pww	102	0.006531105286005427	23.422334808409946	0.0
8pww	103	0.0072381572186110505	20.85799044102509	0.0
8pww	104			
8pww	105			
8pyr	101			
8pyr	102	0.9436818835541118	0.42106968225628033	0.9193548387096774
8pyr	103	0.9376280257917732	0.4016524705864932	0.8870967741935484
8pyr	104	0.929145453042873	0.44512004703425356	0.8870967741935484
8pyr	105	0.9048062106987652	0.6217259596156226	0.9193548387096774
8q3j	101			
8q3j	102			
8q3j	103			
8q3j	104			
8q3j	105	0.07363790840108826	9.981759862449897	0.0
8q6r	101			
8q6r	102			
8q6r	103			
8q6r	104			
8q6r	105	0.8362149001278815	0.9173556541750948	0.9767441860465116
8q7o	101			
8q7o	102			
8q7o	103			
8q7o	104			
8q7o	105			
8q94	101	0.012436176619244788	15.15716846124914	0.0
8q94	102	0.017572198411789763	14.28447994786225	0.0
8q94	103	0.7353237798660165	1.6566666695929626	0.8727272727272727
8q94	104	0.014910343357000368	15.270396532149118	0.0
8q94	105	0.745512724298762	1.7242263528246136	0.9090909090909091
8q95	101	0.795984655229682	1.5334272185391702	0.9259259259259259
8q95	102	0.8578973841225702	0.9877052263118645	0.9074074074074074
8q95	103	0.7651952802785171	1.6136276907998541	0.8703703703703703
8q95	104	0.7880822844006555	1.5769497268576487	0.9259259259259259
8qf4	101	0.8593696973197772	0.8927342282043378	0.8732394366197183
8qf4	102	0.8670893542810613	0.8831155567120139	0.8873239436619719
8qf4	103	0.8517126457718333	0.9816496760745597	0.9014084507042254
8qf4	104	0.8787603213499784	0.8386345690524173	0.9014084507042254
8qf4	105	0.8602316456423651	0.8826749316615422	0.8732394366197183
8qf5	101			
8qf5	102			
8qf5	103			
8qf5	104			
8qf5	105			
8qgx	101	0.34824489515768847	2.995471014202602	0.3
8qgx	102	0.31812788181240764	3.0605186193809693	0.25
8qgx	103	0.32305715191767936	3.033491783766396	0.26666666666666666
8qgx	104	0.35393479357633795	3.031150729593372	0.3333333333333333
8qgx	105	0.3366797627099561	2.9311875352968992	0.2833333333333333
8qh0	101	0.04697721407105033	13.908593996287472	0.09523809523809523
8qh0	102	0.04511018961621438	13.866843073147868	0.09523809523809523
8qh0	103	0.04747627831142761	13.834142782179594	0.09523809523809523
8qh0	104	0.047302029748208525	13.811830704080258	0.09523809523809523
8qh0	105	0.047420453244096626	13.874615755542191	0.09523809523809523
8qrg	101	0.013394104343468521	15.261525485882792	0.0
8qrg	102	0.8340334063108742	0.8939287421686075	0.8709677419354839
8qrg	103	0.022586400605621948	14.371134314593794	0.016129032258064516
8qrg	104	0.03334588385944298	14.076663915249483	0.04838709677419355
8qrg	105	0.8339305899932423	0.9593552757946766	0.8870967741935484
8qz3	101	0.742251038884825	0.7944969288872297	0.9
8qz3	102	0.7604439203195894	0.5729817671346532	0.8333333333333334
8qz3	103	0.7619500767620714	0.5400484252105582	0.9
8qz3	104	0.7589708284302774	0.6752872165207044	0.9333333333333333
8qz3	105	0.8285963716893564	0.6269674499629513	1.0
8r4n	101	0.379127456756869	2.9322023246633035	0.34782608695652173
8r4n	102	0.43524903142318777	2.695375210892703	0.5652173913043478
8r4n	103	0.4101625886248483	2.584958240782747	0.4782608695652174
8r4n	104	0.367298642047363	2.8335454631649113	0.4782608695652174
8r4n	105	0.15501152354261497	8.044210073630932	0.21739130434782608
8r4u	101			
8r4u	102			
8r4u	103			
8r4u	104			
8r4u	105			
8rby	101	0.6793100516479645	1.4185316927630351	0.5657894736842105
