pdb	trunk	DockQ_HA	iptm	aggregate_score
8elq	2	0.0093870542295419	0.19828937947750092	0.2953954041004181
8elq	4	0.0537832171183383	0.17716556787490845	0.27298933267593384
8et0	0		0.3121599555015564	0.4225175976753235
8et0	1		0.3219728469848633	0.43079882860183716
8et0	2		0.3106151223182678	0.42169758677482605
8et0	3	0.1476060822231566	0.30432984232902527	0.4164828062057495
8et0	4	0.1121768886058958	0.3058970272541046	0.41772839426994324
8evd	0		0.25194716453552246	0.35426533222198486
8evd	1	0.1290796629024581	0.2527582049369812	0.355648934841156
8evd	2		0.25648316740989685	0.35736796259880066
8evd	3	0.1010526082130699	0.24780775606632233	0.3511948585510254
8evd	4	0.1118434058413236	0.255775511264801	0.35809895396232605
8ezk	0		0.16361285746097565	0.23015213012695312
8ezk	1		0.1628197729587555	0.23021286725997925
8ezk	2	0.0283542488886588	0.1268521249294281	0.19776754081249237
8ezk	3	0.0313856802426962	0.12447286397218704	0.19569915533065796
8ezk	4	0.0243862600493417	0.12440961599349976	0.19541864097118378
8ezl	0	0.0200170486079978	0.22478768229484558	0.27951499819755554
8ezl	1	0.0188408663649093	0.21512696146965027	0.27071404457092285
8ezl	2	0.0381483349495261	0.19761337339878082	0.2632392644882202
8ezl	3	0.0194498637954911	0.22197307646274567	0.2766571342945099
8ezl	4	0.0360049943020964	0.20053525269031525	0.25761955976486206
8ezm	0	0.0480292259819152	0.1212073341012001	0.1940349042415619
8ezm	1	0.0148441574998854	0.12594150006771088	0.19782951474189758
8ezm	2	0.0256108073256863	0.12183483690023422	0.1946423351764679
8ezm	3	0.0176283278716197	0.13759882748126984	0.2080392837524414
8ezm	4	0.0204882006579236	0.1401447355747223	0.21084587275981903
8f5i	0	0.6837130661256946	0.8383108377456665	0.8515011072158813
8f5i	1	0.7871158536444535	0.8428111672401428	0.8557508587837219
8f5i	2	0.7723833027004511	0.8405426740646362	0.8535076379776001
8f5i	3	0.5484571136966653	0.8329945206642151	0.8470724821090698
8f5i	4	0.801475244182717	0.838118851184845	0.851883590221405
8f6u	0	0.3507511049122047	0.22078470885753632	0.32833343744277954
8f6u	1		0.21072442829608917	0.3202691078186035
8f6u	2		0.22298209369182587	0.3297211825847626
8f6u	3		0.22674599289894104	0.33343929052352905
8f6u	4		0.2682608962059021	0.368881493806839
8fdo	0	0.0412723299885023	0.7019693851470947	0.7244612574577332
8fdo	1	0.0754636385315039	0.6979736089706421	0.7211082577705383
8fdo	2	0.0626070390670954	0.7014270424842834	0.7239557504653931
8fdo	3	0.0634093240864597	0.7108820080757141	0.7323894500732422
8fdo	4	0.0457230077171969	0.7066113948822021	0.7287835478782654
8fxv	0	0.2204467702516102	0.25313496589660645	0.32043299078941345
